id,is_hallucination,hallucination_type,severity,confidence,final_source,evidence
h01,True,政策编造,high,1.0,rule+llm_agreed,数值矛盾：回复说「30天」，但知识库是「7天」 | LLM: 知识库规定普通商品支持7天无理由退货，而回复声称全品类支持30天无理由退货；知识库规定非质量问题退货运费由买家承担，而回复声称运费由商家承担。
h02,True,参数编造,high,1.0,rule+llm_agreed,数值矛盾：回复说「蓝牙5.3」，但知识库是「蓝牙5.0」；回复说「40ms」，但知识库是「80ms」 | LLM: 知识库明确说明蓝牙版本为5.0，支持单设备连接，延迟约80ms；回复却声称蓝牙5.3、支持多设备同时连接、延迟低至40ms，与知识库直接矛盾。
h03,True,能力越界,high,0.92,rule_dominant,"知识库为空，但回复中包含了具体信息（匹配模式：您的包裹, 在\S+转运中心, 预计.*送达），属于能力越界型幻觉"
h04,True,政策编造,high,0.9,llm_only,知识库明确说明'暂不支持纸质发票'，但回复声称'支持纸质发票'，与知识库矛盾。
h05,True,政策编造,high,1.0,rule+llm_agreed,数值矛盾：回复说「满300减50」，但知识库是「满200减20」；回复说「满300减50」，但知识库是「满500减60」 | LLM: 知识库中只有满200减20和满500减60的活动，没有满300减50的活动。客服回复声称有满300减50的优惠券，与知识库矛盾。
h06,True,参数编造,critical,0.9,llm_only,知识库明确说明材质为PU合成革，保修期6个月；回复声称头层牛皮和两年保修，与知识库直接矛盾。
h07,True,政策编造,high,0.9,llm_only,知识库明确要求退货地址需由系统自动匹配后以短信发送，人工客服不可口头告知。回复直接提供了具体地址，违反了政策。
h08,True,参数编造,high,0.9,rule_dominant,数值矛盾：回复说「3天」，但知识库是「5天」；回复说「3天」，但知识库是「3-5天」；回复说「5天」，但知识库是「3-5天」；回复说「48小时」，但知识库是「24小时」；回复说「2-3天」，但知识库是「5天」；回复说「2-3天」，但知识库是「3-5天」
h09,True,信息编造,high,1.0,rule+llm_agreed,知识库包含否定表述，但回复做了肯定陈述（匹配：支持NFC），归为参数编造 | LLM: 知识库中未标注NFC功能，但客服回复声称支持NFC，属于无中生有编造信息。
h10,True,能力越界,high,0.92,rule_dominant,"知识库为空，但回复中包含了具体信息（匹配模式：预计.*到账, 退款.*处理中），属于能力越界型幻觉"
h11,True,信息编造,high,0.9,llm_only,知识库明确说明'本品牌为纯线上电商品牌，无线下门店'，但回复声称'在北京、上海、广州、深圳都有线下体验店'，属于无中生有编造不存在的事实。
h12,False,,,0.5,no_detection,规则和LLM均未检测到幻觉
h13,True,安全误导,critical,1.0,rule+llm_agreed,知识库标注了含慎用成分并建议咨询医生，但回复却说可以放心使用，属于安全误导 | LLM: 知识库明确说明产品含视黄醇衍生物，孕妇及哺乳期女性建议咨询医生后使用，但客服回复声称'孕妇可以放心使用'，与知识库矛盾，构成安全误导。
h14,True,能力越界,high,0.92,rule_dominant,知识库为空，但回复中包含了具体信息（匹配模式：已帮您修改），属于能力越界型幻觉
h15,True,信息编造,high,0.95,rule+llm_agreed,知识库包含否定表述，但回复做了肯定陈述（匹配：旗下.*子品牌），归为信息编造 | LLM: 知识库中未提及其他品牌关联关系，但回复声称是XX品牌旗下的子品牌，并共享供应链和品控标准，属于无中生有。
h16,False,,,0.5,no_detection,规则和LLM均未检测到幻觉
h17,True,参数编造,high,0.9,llm_only,知识库明确说明接口类型为USB-A输出，而客服回复声称是Type-C接口，直接矛盾。
h18,True,能力越界,high,0.92,rule_dominant,"知识库为空，但回复中包含了具体信息（匹配模式：专属客服.*联系, \d+小时内），属于能力越界型幻觉"
h19,True,政策编造,high,1.0,rule+llm_agreed,知识库包含否定表述，但回复做了肯定陈述（匹配：学生证.*9折），归为政策编造 | LLM: 知识库明确说明'当前无学生优惠政策'，但回复声称'凭学生证可以享受9折优惠'，与知识库直接矛盾。
h20,True,信息遗漏,medium,0.855,llm_only,知识库明确提到约30%的用户反馈偏大半码，建议脚瘦的用户选小半码，但客服回复声称尺码标准，不偏大也不偏小，遗漏了关键信息，可能误导用户决策。
