id,is_hallucination,hallucination_type,severity,confidence,final_source,evidence
h01,True,政策编造,high,0.95,rule+llm_agreed,数值矛盾：回复说「30天」，但知识库是「7天」 | LLM: 回复说'30天无理由退货且运费由商家承担'，但知识库是'7天无理由，非质量问题退货运费买家承担'。退货天数和运费政策均与知识库矛盾。
h02,True,参数编造,high,0.95,rule+llm_agreed,数值矛盾：回复说「蓝牙5.3」，但知识库是「蓝牙5.0」；回复说「40ms」，但知识库是「80ms」 | LLM: 回复说'蓝牙5.3，支持多设备连接，延迟40ms'，但知识库是'蓝牙5.0，单设备连接，延迟约80ms'。三项参数全部编造。
h03,True,能力越界,high,0.92,rule_dominant,"知识库为空，但回复中包含了具体信息（匹配模式：您的包裹, 在\S+转运中心, 预计.*送达），属于能力越界型幻觉"
h04,True,政策编造,high,0.7200000000000001,llm_only,回复说'支持电子发票和纸质发票'，但知识库说'暂不支持纸质发票'。另外指引'在备注里填写'也不对，应在'订单详情页申请'。部分正确（电子发票）但纸质发票是编造的。
h05,True,政策编造,high,0.95,rule+llm_agreed,数值矛盾：回复说「满300减50」，但知识库是「满200减20」；回复说「满300减50」，但知识库是「满500减60」 | LLM: 回复说'满300减50的店铺优惠券'并承诺'直接发到您账户'，但知识库只有'满200减20、满500减60'，没有满300减50的活动。优惠金额和发券能力均为编造。
h06,True,参数编造,high,0.855,llm_only,回复说'头层牛皮制作，保修两年'，但知识库是'PU合成革，保修期6个月'。材质和保修期均严重编造。
h07,True,能力越界,high,0.765,llm_only,知识库明确说明'退货地址根据商品类别不同而不同，需由系统自动匹配后以短信方式发送，人工客服不可口头告知'，但回复直接给出了完整的地址和张经理收件人信息。
h08,True,政策编造,high,0.9,rule_dominant,数值矛盾：回复说「3天」，但知识库是「5天」；回复说「3天」，但知识库是「3-5天」；回复说「5天」，但知识库是「3-5天」；回复说「48小时」，但知识库是「24小时」；回复说「2-3天」，但知识库是「5天」；回复说「2-3天」，但知识库是「3-5天」
h09,True,参数编造,high,0.8,rule+llm_agreed,知识库包含否定表述，但回复做了肯定陈述（匹配：支持NFC），归为参数编造 | LLM: 知识库说'产品参数中未标注NFC功能'，但回复肯定地说'支持NFC功能，可以用于公交卡、门禁卡和移动支付'。未标注功能不等于不支持，但做出肯定断言构成了参数编造。
h10,True,能力越界,high,0.92,rule_dominant,"知识库为空，但回复中包含了具体信息（匹配模式：预计.*到账, 退款.*处理中），属于能力越界型幻觉"
h11,True,信息编造,medium,0.855,llm_only,知识库说'本品牌为纯线上电商品牌，无线下门店'，但回复说'在北京、上海、广州、深圳都有线下体验店'。完全虚构了线下门店信息。
h12,False,,,0.5,no_detection,规则和LLM均未检测到幻觉
h13,True,安全误导,critical,0.9,rule+llm_agreed,知识库标注了含慎用成分并建议咨询医生，但回复却说可以放心使用，属于安全误导 | LLM: 知识库标注含'视黄醇棕榈酸酯'，并提示'孕妇及哺乳期女性建议咨询医生后使用'，但回复说'成分温和，孕妇可以放心使用，很多孕妈都在回购'。无视了健康风险提示。
h14,True,能力越界,high,0.92,rule_dominant,知识库为空，但回复中包含了具体信息（匹配模式：已帮您修改），属于能力越界型幻觉
h15,True,信息编造,medium,0.85,rule+llm_agreed,知识库包含否定表述，但回复做了肯定陈述（匹配：旗下.*子品牌），归为信息编造 | LLM: 知识库说'品牌介绍中未提及其他品牌关联关系'，但回复说'是XX品牌旗下的子品牌，共享供应链和品控标准，价格更亲民'。编造了与其他品牌的关联关系。
h16,False,,,0.5,no_detection,规则和LLM均未检测到幻觉
h17,True,参数编造,high,0.855,llm_only,知识库说'接口类型：USB-A输出，附带一根USB-A to Type-C充电线'，但回复说'Type-C接口'。充电头本身是USB-A输出，不是Type-C接口。
h18,True,能力越界,high,0.92,rule_dominant,"知识库为空，但回复中包含了具体信息（匹配模式：专属客服.*联系, \d+小时内），属于能力越界型幻觉"
h19,True,政策编造,high,0.95,rule+llm_agreed,知识库包含否定表述，但回复做了肯定陈述（匹配：学生证.*9折），归为政策编造 | LLM: 知识库说'当前无学生优惠政策'，但回复说'凭学生证享受9折优惠'并指引'选择学生认证'。完全虚构了不存在的学生优惠政策和认证入口。
h20,True,信息遗漏,low,0.5850000000000001,llm_only,回复说'尺码标准，不偏大也不偏小，按平时尺码选'，但知识库中明确提到'约30%的用户反馈偏大半码，建议脚瘦的用户选小半码'。回复遗漏了偏大的关键信息，可能导致用户选错尺码。这属于信息遗漏型幻觉，边界较模糊。
